Years:,Jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2013,231.679,232.937,232.282,231.797,231.893,232.445,232.900,233.456,233.544,233.669,234.100,234.719
2014,235.288,235.547,236.028,236.468,236.918,237.231,237.498,237.460,237.477,237.430,236.983,236.252
2015,234.747,235.342,235.976,236.222,237.001,237.657,238.034,238.033,237.498,237.733,238.017,237.761
2016,237.652,237.336,238.080,238.992,239.557,240.222,240.101,240.545,241.176,241.741,242.026,242.637
2017,243.618,244.006,243.892,244.193,244.004,244.163,244.243,245.183,246.435,246.626,247.284,247.805
2018,248.859,249.529,249.577,250.227,250.792,251.018,251.214,251.663,252.182,252.772,252.594,252.767
2019,252.718,253.322,254.202,255.211,255.290,255.159,255.685,256.059,256.511,257.244,257.803,258.616
2020,259.037,259.248,258.124,256.092,255.868,256.986,258.278,259.411,260.029,260.286,260.813,262.035
2021,262.650,263.638,264.914,266.670,268.444,270.559,271.764,272.870,274.028,276.522,278.711,280.887
2022,282.599,284.610,287.472,288.611,291.268,294.728,294.628,295.320,296.539,297.987,298.598,298.990
2023,300.536,301.648,301.808,302.918,303.294,303.841,304.348,306.269,307.481,307.619,307.917,308.850