"","state","median_kw_potential","median_yearly_kwh_produced","median_percent_houses_qualified","median_carbon_offset","average_installation_cost","avg_house_price","number_of_customers","average_monthly_consumption","price_per_kwh","impact","economical","savings","naive_model","aggregate_rank"
"1","California",8.75,12951.40621,88.6554144045106,40930.93591,11278,793600,13883994,542,0.23,0.008015499860652,1,1,1,1
"2","New Mexico",9.125,14827.003635,88.2270321813668,7581.87819555,12343,358600,914495,646,0.14,0.0226512625790586,0.950007659847633,0.667946738807874,0.817028385163569,2
"3","Nevada",10.75,17113.43308,96.1707927502517,112960.1733,10922,479299,1249392,959,0.11,0.226611554749186,0.740636277090098,0.415804311348088,0.68876567102363,3
"4","North Dakota",9,10106.4352555,73.5917336132423,119477.09575,10031,334075,391340,1041,0.11,1,0.394017178222602,-0.176958335173471,0.606100322997302,4
"5","Vermont",8,8619.5265285,81.0481509469996,27790.479425,12299,395800,319444,567,0.19,0.258735970189682,0.625039865679954,0.232618007236284,0.555968737882448,5
"6","Utah",9.875,13374.18119,93.1301300278127,53249.49598,11411,548900,1176949,775,0.1,0.117102526496259,0.716860128813674,0.274743527612627,0.552140251407172,6
"7","Rhode Island",7.25,8357.806787,82.8705013270897,39812.92128,11988,455500,446320,585,0.22,0.25946354525423,0.588872509750951,0.198473809907774,0.521315629777558,7
"8","Alaska",9.5,7904.710718,80.9283601211294,36313.96227,9956,350000,292451,594,0.23,0.369843852501056,0.546521322417596,0.120468711401387,0.516347551297284,8
"9","Colorado",8,11285.42178,86.2284769286372,92668.36385,12654,586100,2443109,704,0.13,0.106031902458163,0.664755065601975,0.248745012224341,0.507731130738398,9
"10","Wyoming",8.25,10628.07212,87.5361799528455,45842.07656,10626,317000,278599,867,0.11,0.453101767059554,0.499733392563161,0.0166214014544807,0.482793365461806,10
"11","Wisconsin",9.25,10262.18847,83.5677331541793,100706.158705,13009,329000,2761990,690,0.15,0.105170496552463,0.606879439002063,0.200504135890263,0.454455690958619,11
"12","Idaho",10.25,13333.87239,90.908140146528,61876.36548,12654,539000,806421,961,0.1,0.203450523530491,0.572950365561838,0.121509759544198,0.44716320601053,12
"13","Arizona",9.25,15312.60681,90.9576338638053,50314.15205,10123,435300,2953823,1048,0.13,0.0451403740043433,0.604095833086945,0.239906981473394,0.442796974737687,13
"14","Florida",12,15871.00535,87.442749846962,97627.59073,10301,405000,9917113,1096,0.12,0.0271370178739808,0.597496317058158,0.220028247135451,0.420644951259692,14
"15","Delaware",9,10837.136945,79.317128608869,62499.215695,11322,375000,453758,950,0.13,0.418583308102018,0.465550503559783,-0.0493438721319058,0.4157288325652,15
"16","New Hampshire",7.25,8165.248999,81.0526204297126,42194.66884,12920,451400,638267,631,0.2,0.196601464644755,0.530945495201882,0.0800118183933395,0.402167601941328,16
"17","South Dakota",7,9030.198291,75.3027638807333,90032.00548,10016,300200,412657,1019,0.12,0.698385812594051,0.356646281640527,-0.258773563913002,0.396540031875667,17
"18","Mississippi",12.25,14995.328645,83.4924664314343,92991.670665,13442,232800,1321576,1171,0.12,0.203143641676617,0.510544302956789,0.0763363515382603,0.393435357558988,18
"19","New York",7.25,8350.725806,80.9893865624797,25584.4816,11766,649000,7256212,599,0.19,0.0104939059263037,0.57844172587605,0.148976594782885,0.367483331994423,19
"20","Michigan",8.375,9003.3336945,82.6877762734359,106386.6409,11855,238800,4458038,670,0.18,0.0695665770848266,0.54128793436103,0.116932810121551,0.362441087540366,20
"21","Massachusetts",7,7949.819653,79.1832319702963,26483.07348,12166,595700,2840311,596,0.23,0.0283836264748761,0.551887042314147,0.123742731109849,0.350601576505624,21
"22","Louisiana",11.75,14665.49378,86.839350994711,110739.0244,11588,243300,2126155,1192,0.11,0.144573208445381,0.494486869896577,0.0268151755813161,0.331608622527806,22
"23","Arkansas",10.5,12730.20824,81.4091001090862,107753.047,10888,246000,1436246,1098,0.11,0.222139807296191,0.466295119538645,-0.033068298760504,0.326375283517389,23
"24","Oklahoma",10.25,13206.11257,94.9688552515365,110997.2047,10854,233900,1818813,1088,0.11,0.154896429268869,0.488138831161181,0.0111351706286968,0.325779572470503,24
"25","South Carolina",10.25,13133.50616,85.9815741170226,119006.24635,12210,360800,2426703,1078,0.13,0.137482162768587,0.496400143652428,0.017314546793809,0.324298718441174,25
"26","Minnesota",8.75,9947.878088,69.5924267992093,50623.72027,12787,330500,2496406,776,0.14,0.0702385400532978,0.520764028231422,0.0600328589313842,0.32421832762809,26
"27","Kansas",8.5,10525.42217,86.0808708689715,82500.95889,9881,263700,1289344,890,0.13,0.179176957528408,0.479521439628618,-0.0135511979516003,0.32128596579568,27
"28","Illinois",8.25,9291.286188,83.3213577661378,96358.69024,12388,266800,5361717,728,0.13,0.0519911327356871,0.514459391502013,0.0486796395924146,0.30633735838832,28
"29","Montana",8.5,9991.130864,83.9438667548756,29732.266815,12254,609900,531398,872,0.11,0.160663695695286,0.472775293109189,-0.0350768660772675,0.297986804767558,29
"30","Connecticut",7.75,8647.5139615,79.1426821814413,32301.352225,11500,424900,1530251,713,0.22,0.0642903639229174,0.49751501909316,0.013576792086239,0.286542696080904,30
"31","Texas",10.5,13553.71448,91.5341206517669,93351.780135,10967,336400,11815251,1094,0.12,0.0208063191262648,0.505706977040454,0.0344498074689628,0.279361939026173,31
"32","New Jersey",7.25,8337.3978635,81.3669981565207,32233.10346,10745,485900,3648914,687,0.16,0.0261691018600131,0.500339830603224,0.0100772969262951,0.267222155121197,32
"33","Alabama",10.75,13300.40115,83.4431985703093,73188.60248,10142,267100,2308226,1140,0.13,0.091595217833371,0.472554089032824,-0.0332778585295823,0.264376170589048,33
"34","Tennessee",11,13092.92198,87.8441009224664,142842.2352,10293,418900,3016642,1183,0.11,0.129932824439618,0.454064423957726,-0.0818250061901216,0.250083847580893,34
"35","Maine",6.25,6882.9568665,78.2301102134487,8181.7750065,11894,370000,722038,584,0.17,0.0349150085786106,0.480510435497557,-0.0143349406908913,0.249545137186466,35
"36","Oregon",11,10806.23905,87.3912589872836,36991.55897,11144,490200,1805684,936,0.11,0.0565056019802411,0.475123325836303,-0.0315824372688181,0.24902521448785,36
"37","Nebraska",8.5,10433.946835,84.5637076650381,59371.736385,11707,280400,869656,1005,0.11,0.194601800391471,0.416480646889751,-0.120618675995005,0.24425298077642,37
"38","Georgia",9.75,12097.99734,76.811865226058,119741.75085,11722,389500,4560653,1072,0.13,0.0823927275564945,0.460454488116239,-0.0671522797099194,0.236898039878589,38
"39","District of Columbia",5.25,6264.8169865,74.2946496338336,27728.000125,11633,640000,298337,706,0.13,0.301545260821927,0.364827893522539,-0.193494590597812,0.235495474900204,39
"40","Iowa",7.875,9226.6941775,77.7941235186604,49091.46869,10478,289900,1417424,861,0.13,0.107314416464476,0.433404009692016,-0.0968975822584253,0.221024610581376,40
"41","Indiana",9,10128.01884,83.3173988290545,119804.2417,11322,242500,2948803,946,0.13,0.117540991375146,0.427644512626735,-0.107301357433917,0.218068110828005,41
"42","North Carolina",9,11314.685975,81.4085940654411,111577.86225,10390,362200,4774592,1063,0.11,0.0691942701950564,0.434135139295332,-0.106914947881505,0.197416036697124,42
"43","Kentucky",9.375,10879.317935,87.8580148281918,99096.68813,9641,246700,2032575,1084,0.12,0.133761087789514,0.403257875369379,-0.172257911692091,0.181652507907491,43
"44","Washington",9.75,9830.545352,89.3978533486328,29928.667565,10390,605400,3220813,984,0.1,0.0250549418197965,0.412409899716491,-0.133350197340022,0.151450346980573,44
"45","Ohio",8,8709.491641,83.3083706490187,91186.266005,10656,228000,5041904,879,0.13,0.052329289299556,0.393995687335823,-0.161174411029582,0.142006157634533,45
"46","West Virginia",8.5,9773.412683,87.4794565261842,46818.62332,10925,284000,863647,1066,0.12,0.149373965822475,0.36698279574983,-0.24427111781329,0.13549977267501,46
"47","Missouri",7.75,9528.215698,80.5782065112789,75263.04072,10701,243500,2861933,1039,0.11,0.0786689436303778,0.364307121962035,-0.21806967807116,0.112004308501035,47
"48","Maryland",7.5,8805.265018,84.9101217325299,77163.92173,11500,395000,2395954,973,0.13,0.0914271053297885,0.366711031679328,-0.251665442629552,0.1028242532958,48
"49","Pennsylvania",7.25,8001.639355,84.051866675037,38014.39901,11411,268100,5477367,851,0.14,0.0199034124239359,0.374788758796652,-0.208678788108781,0.0926354319101199,49
"50","Virginia",8,9738.8577755,81.2642443081961,73449.20816,11650,415600,3551532,1094,0.12,0.0613437755448602,0.361039616577395,-0.274257284175435,0.0737674126305796,50
